cookie,url,timestamp
44444-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/aaa_br1,1639083223
55555-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/bbb_br2,1639083245
66666-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/ccc_br3,1639083267
44444-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/bbb_br4,1639083278
55555-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/ddd_br5,1639083289
44444-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/eee_br4,1639083310
44444-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/fff_br1,1639083319
44444-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/ggg_br1,1639083335
44444-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/eee_br4,1639083345
44444-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/eee_br4,1639083367
55555-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/eee_br2,1639083377
55555-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/ccc_br4,1639083388
55555-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/aaa_br5,1639083397
55555-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/iii_br6,1639083409
55555-02aa-476b-a17d-79f17e29bbcd,https://lamoda.ru/iii_br6,1639083429
